task_id,status,note
img2-0114,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0115,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0116,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0117,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0118,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0119,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0120,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0121,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0122,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0123,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0124,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0126,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0176,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0178,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0180,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0181,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0183,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0184,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0185,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0186,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0188,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0189,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was PASS; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0125,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was RETRY_SENT_PENDING_RECEIPT; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0182,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was RETRY_SENT_PENDING_RECEIPT; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0187,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was RETRY_SENT_PENDING_RECEIPT; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
img2-0190,WORKFLOW_STOPPED_NOT_FINAL,"Previous repair status was SENT_TO_KEVIN_PENDING_RECEIPT; current Book/Kevin repair workflow canceled by T J./Mandy, do not treat Kevin repair acceptance as final."
